channel,channel_idx,addicted_mean,healthy_mean,t_statistic,p_value,cohens_d,auc_score,discriminability,task
P8,2,186.6114297583267,122.78770933367902,1.706475814127453,0.11364114717120205,0.9852342706505499,0.6938775510204082,0.873271117901439,C
Fp2,8,410.7773904698217,634.547592224411,-1.7000280389157625,0.11487447628097769,-0.9815116458974967,0.28571428571428575,0.8687610096113414,C
Cz,5,1.1364891499191176,5.641229545728193,-1.5213053609915759,0.15408796128392743,-0.8783260596709817,0.42857142857142855,0.7429865877937349,C
O1,17,119.22773460849204,210.06850962288718,-1.2996344918040323,0.21813849695754758,-0.7503443236905607,0.30612244897959184,0.5866653407200743,C
C4,4,44.09326322910416,217.55523064930074,-1.169287649805665,0.26498999033604737,-0.675088539375143,0.30612244897959184,0.49619683385014757,C
Fz,6,168.89429924312586,110.78612664286145,1.0482479681837436,0.3151788360562007,0.6052062466077323,0.6326530612244898,0.4144580462279653,C
T8,3,126.68619863192306,169.45853451079603,-1.0020437231887616,0.33610079876582133,-0.5785302133220238,0.3877551020408163,0.3840857465143306,C
Fp1,10,454.13092936817065,582.5472669387743,-0.7613547012638217,0.46114606381487944,-0.43956834172330406,0.3877551020408163,0.23686313115996854,C
P4,0,89.40802397308188,115.8037279420045,-0.44156310418094213,0.6666570765218858,-0.25493657706282746,0.32653061224489793,0.08498130389962646,C
Pz,18,20.661699840277098,15.396291221223015,0.4120181235648998,0.6875907622060217,0.23787877455012474,0.40816326530612246,0.07431552664457008,C
F7,11,202.62106972381054,226.11037329461573,-0.39541168029298124,0.699478297796514,-0.22829104005765308,0.3673469387755102,0.0686064119559301,C
F8,9,197.920439213457,217.13482006271252,-0.38531978974083264,0.7067435668560926,-0.22246448433070215,0.3877551020408163,0.06523914117602038,C
F3,12,139.59736080169426,153.09124150589497,-0.3137219400962788,0.7591186935574229,-0.18112744656503507,0.3877551020408163,0.04363021596119372,C
P3,16,66.47730000797524,73.06930379331297,-0.2439452233857171,0.8113940262764123,-0.14084184038896624,0.32653061224489793,0.026563612447583096,C
F4,7,134.20612097845193,143.37515489719584,-0.16908711952220853,0.8685448854302487,-0.09762249397254157,0.44897959183673464,0.012832976129745311,C
T7,14,124.60612702602668,131.23027023511807,-0.14132697167065703,0.889956462662219,-0.08159516513770794,0.24489795918367346,0.008979020601413774,C
O2,1,152.39280980865712,158.111582769285,-0.11781322902606453,0.9081646711184863,-0.06801949949221649,0.4285714285714286,0.006246593106223655,C
P7,15,129.09035727747528,125.37853724780815,0.0790809699289036,0.9382716676346121,0.04565741927617303,0.46938775510204084,0.002818356352025476,C
C3,13,43.690246298857055,192.36005112451014,-2.4364403027488755,0.03136124087399991,-1.4066794646551857,0.12244897959183673,1.3625642511316252,S
T8,3,104.27835723920327,176.95766543495373,-1.8146146099880354,0.0946443467150187,-1.0476682335505099,0.22448979591836735,0.9485123580120443,S
Fp2,8,393.20245589512916,542.7387307595837,-1.6319777110847427,0.1286309842352205,-0.9422227708056521,0.2857142857142857,0.8210237284280845,S
P8,2,167.7242812695644,106.72055563624629,1.599807701954941,0.1356232706644374,0.9236494073739233,0.7755102040816326,0.7983810537986026,S
Cz,5,1.4116453658147823,6.58017263146738,-1.4563309136303528,0.17096314745160843,-0.8408130449999796,0.3469387755102041,0.6970650004084121,S
P3,16,58.59098482587343,96.51939190531753,-1.147209334196115,0.27365386947984693,-0.6623416179138216,0.30612244897959184,0.481089271254162,S
C4,4,43.11222610836535,320.89494876446133,-1.1051866759727424,0.29074512005941056,-0.638079824877504,0.2448979591836735,0.4525612295860065,S
O1,17,114.43847526223158,265.82664165900326,-1.1032247333387102,0.29156248960274284,-0.6369470967694896,0.3469387755102041,0.451237215490138,S
Pz,18,22.492717864512457,11.191131742465425,0.884947349112916,0.3935718084352303,0.510924590226678,0.6122448979591837,0.30983907527713533,S
F8,9,197.28718352758037,226.00689700882072,-0.8680143119724008,0.40241213014183985,-0.5011482966768389,0.36734693877551017,0.29948014309415744,S
F7,11,192.51125228232613,225.06127305506047,-0.7233125608374517,0.48334918180226905,-0.41760470170720443,0.346938775510204,0.21575581082024653,S
P4,0,75.65340537065988,60.42575663232509,0.658274024419113,0.5227910212769442,0.38005468519796465,0.5102040816326531,0.18136550818223318,S
F3,12,129.12221413074093,160.4935044453138,-0.6351715697124225,0.5372401344772098,-0.3667164767546356,0.34693877551020413,0.1697016674679666,S
F4,7,118.37449817504078,150.4740724353691,-0.6262877368186961,0.5428562463461217,-0.36158739344202834,0.40816326530612246,0.16529741831201056,S
Fz,6,142.1243192836481,130.1804388673197,0.19626847207487444,0.8476845910813248,0.11331565518575779,0.5306122448979592,0.0172597203565063,S
O2,1,155.21721710154478,147.59731339169122,0.1688940109232675,0.8686934770165089,0.09751100267093929,0.5102040816326531,0.012803830713354952,S
P7,15,131.91223683411206,126.79068489329306,0.116526118170935,0.9091630395207022,0.0672763856935231,0.5510204081632654,0.006111182388432552,S
T7,14,140.1198015049526,144.60588087118094,-0.09123231252625494,0.9288132461967512,-0.05267300019576351,0.3061224489795918,0.0037496198970142923,S
Fp1,10,458.8009532039511,465.5538083483328,-0.04309996927634432,0.966330709077908,-0.024883778863752825,0.42857142857142855,0.0008378191898046986,S
C3,13,41.07062067951931,167.62841304994467,-2.448104515596039,0.03069945981263152,-1.413413801082133,0.18367346938775514,1.3700227608971933,F
P8,2,187.31523864430642,109.53506565028879,1.7285181989851777,0.10951328599874385,0.9979604474819791,0.7551020408163265,0.8886705195814507,F
Cz,5,0.8633949777653053,4.751584415395259,-1.5946909321961342,0.13676544922053535,-0.9206952389558919,0.32653061224489793,0.7947759410048812,F
T8,3,94.3762200494602,160.45914618887988,-1.5198696038174582,0.1544448829532965,-0.8774971248959743,0.24489795918367346,0.7419721841495613,F
C4,4,45.82228382900911,121.4773750362183,-1.4963188871865654,0.16040125345717243,-0.8639001123096984,0.2857142857142857,0.7253294514334309,F
Fz,6,150.40491543482608,98.36899878142432,0.8205575446306694,0.42789804437220647,0.47374911927766405,0.6122448979591837,0.27103279761569643,F
Pz,18,19.89774443048235,11.520645961723988,0.7096810853342513,0.4914623397136342,0.40973456565451183,0.5510204081632654,0.20836545735639578,F
Fp2,8,394.422975375969,480.99144014620464,-0.705479213768699,0.4939797677978056,-0.40730861397685236,0.34693877551020413,0.2061063994225208,F
T7,14,150.3998681389908,121.1450025394613,0.6327103092086301,0.5387927685194474,0.36529546734019785,0.5306122448979592,0.1684769111643673,F
P3,16,58.616577419439054,72.55122800855585,-0.6294352732987386,0.540862688339908,-0.3634046244755246,0.30612244897959184,0.1668526223265376,F
F8,9,219.77042516470982,193.1588738648483,0.5961961802635923,0.562122074940449,0.3442140251645665,0.5510204081632654,0.15072372311545645,F
O1,17,122.50842966396439,151.5447164814058,-0.54948866009616,0.5927492182708449,-0.3172474258228182,0.34693877551020413,0.12919926216790484,F
F3,12,140.27579048721847,119.63638654625545,0.5336126524993479,0.6033534468713049,0.3080814085630288,0.4897959183673469,0.12219942878955863,F
F4,7,130.47646477789152,141.9540959878246,-0.21187475881166953,0.8357607017567179,-0.12232594903427407,0.46938775510204084,0.020090728026332664,F
F7,11,194.20006461008833,202.6879673566675,-0.15503730625074338,0.8793691340626826,-0.08951083049820675,0.3469387755102041,0.010797768993767122,F
P7,15,133.62854678016723,125.64862275124226,0.12820053168209591,0.9001137380797346,0.07401661147684258,0.40816326530612246,0.007393242640426419,F
O2,1,148.82399445135965,145.59092526328067,0.06882658573931842,0.9462612466578558,0.0397370478039495,0.5102040816326531,0.002135419410481434,F
Fp1,10,456.6979813738984,464.97288677896915,-0.05082808142395233,0.9602987819503038,-0.029345606492500686,0.44897959183673464,0.0011650563221593494,F
