feature,importance
Fp1_mobility,0.13146069748916225
corr_Fz_P7,0.13094065821268758
P3_activity,0.12898359944786075
P4_beta,0.127302329623769
F3_activity,0.12645354948859158
corr_P8_P7,0.12636028894780704
P8_activity,0.12618457164568883
corr_F4_F8,0.12427409885200046
corr_T8_P3,0.12353609848811527
F4_skew,0.12341485426084643
Pz_gamma,0.1230169400552221
Pz_kurt,0.12298253449332794
F8_skew,0.12259582330197513
corr_P4_T8,0.12254314571615377
O1_complexity,0.12222566061809961
corr_P3_Pz,0.12145797186947588
corr_P8_P3,0.12140447741846427
Pz_skew,0.11926070769784794
P7_alpha,0.11745779874484565
corr_Fp2_O1,0.1163276623547623
F3_complexity,0.11511946983906438
corr_Fz_P3,0.11506466391226308
Pz_mean,0.11411603770535565
C4_alpha,0.11346070697878274
P8_delta,0.1123180847698566
T8_alpha,0.11196989891718963
C4_mobility,0.11116978229386115
Fp1_kurt,0.11104231838831953
corr_O2_C3,0.11040395563102756
T7_skew,0.10967253972195559
corr_O2_Fp2,0.10945155868687638
Fz_kurt,0.10652182326378411
corr_O2_Fz,0.10257660480705137
corr_Cz_T7,0.10150030813162267
corr_F8_O1,0.10080444150954167
corr_P7_P3,0.0990690223550378
F3_std,0.09841237864876752
F3_theta,0.09819768516852972
Cz_activity,0.09787222490013506
corr_O2_F3,0.09709196675357823
corr_P8_T8,0.09698777926483622
corr_Cz_F7,0.09567506840409583
F3_beta,0.09499790280368825
corr_Fp1_P7,0.0943171375812246
P8_std,0.09331613334635228
P3_skew,0.093159393951549
corr_T8_Cz,0.09309516011042376
corr_T8_Fp2,0.09243921945343016
corr_Cz_O1,0.09205834511912124
corr_F7_C3,0.09149171552561011
corr_C4_F7,0.0914267818723676
corr_Fp1_T7,0.09135231999075596
T8_activity,0.09047119666712626
P4_activity,0.08896710721062613
P4_mean,0.0888237377556146
corr_T8_O1,0.08794310544711377
F3_kurt,0.08451229696549858
corr_F4_T7,0.08408117639408486
C4_gamma,0.08391295502464186
P8_alpha,0.0834287822804097
O1_gamma,0.0832625013625134
corr_C4_F3,0.08307469670570794
corr_P8_F8,0.08230113245550258
Pz_std,0.08149196148458603
O1_std,0.08129221639171776
O1_delta,0.08120397683452044
corr_Fp2_P7,0.08119684954997351
corr_O2_Cz,0.080745242878723
P3_delta,0.08050646798251643
F4_mobility,0.0796135964351729
C4_mean,0.07892792932356964
T8_mean,0.07822932373855956
corr_P8_F3,0.07653972798724677
corr_P4_F7,0.07603011773712894
Cz_gamma,0.07545038962424268
F8_activity,0.07474305230610807
P3_alpha,0.07315589337435012
Pz_complexity,0.0730336582833778
Fp2_alpha,0.0720350841105178
F3_alpha,0.07075286729811385
O1_kurt,0.07048504448551123
corr_C4_Cz,0.06988575672052083
F4_std,0.06899344437600843
T7_mean,0.06755476824622751
C3_delta,0.06683287586397091
P3_beta,0.06493323468977806
corr_F8_Pz,0.06480068278574831
Fz_activity,0.06392002598592166
corr_P4_T7,0.06264765935645171
F7_beta,0.06170984815374404
Fp1_activity,0.061434586156890424
corr_Fp1_O1,0.06119717236163982
Fp2_std,0.06036014138913588
Fp2_kurt,0.06021041730656914
corr_Fz_Pz,0.059273961406117556
corr_F7_P7,0.059125206930500045
corr_C4_Fz,0.05856745889947118
P3_kurt,0.058005563677756465
corr_F4_P7,0.057677136807248716
corr_O2_T7,0.057560113528407994
corr_F8_F3,0.05637792199553121
corr_P8_Cz,0.052544342496567115
F8_mean,0.052346255617110066
corr_F3_P7,0.05225860864776672
F4_mean,0.05194713109800159
O2_mean,0.051620172524978435
corr_Cz_C3,0.051197904641555915
T8_delta,0.05085373203830613
corr_P8_Fz,0.04989191423459256
corr_P8_Pz,0.04964253673143313
Fp2_activity,0.04712206808990963
Fp1_gamma,0.04674679838140754
P8_theta,0.04635139588097141
C4_delta,0.044809461942547486
Fz_mean,0.04467309351156665
corr_F3_Pz,0.04406998663284255
corr_P4_Fp2,0.04375872979224157
corr_P8_Fp1,0.043701370315785436
corr_P8_F7,0.04323033856454139
Pz_activity,0.04215007573214923
corr_F7_Pz,0.04129215234101036
C4_skew,0.03973045560164238
Fp2_skew,0.03932538463149092
Fz_delta,0.03859897250889959
corr_C3_O1,0.03840640773250383
F7_delta,0.038195229936112775
corr_T7_P7,0.03770180128327283
P3_mobility,0.036920876468938484
corr_Fp2_P3,0.03662294198037069
P7_skew,0.03561594070246291
O2_skew,0.03162086124141858
corr_P4_P7,0.030686648624546675
O1_mobility,0.03049387318450109
P7_std,0.02903233683005001
P7_mean,0.02827295693636807
corr_T8_P7,0.028024701051451016
F7_skew,0.027943960626357223
corr_Fp1_P3,0.0278490043517419
corr_Fz_O1,0.027541406560917386
F7_activity,0.02746543544824327
corr_O2_F7,0.027190530000429276
F7_kurt,0.02666444871621663
P3_theta,0.026221460673325016
F4_theta,0.025717367314569934
corr_P4_Fz,0.025697713253138885
F3_mean,0.025628425329355504
corr_P8_C3,0.024834702732458146
corr_Fp2_C3,0.024831221282372685
Fp1_theta,0.02450932802130448
Fp2_delta,0.023978728569281738
F4_activity,0.022779328203124807
P4_kurt,0.022396354939135308
Fp2_theta,0.02211560301178648
F7_std,0.021996027631369663
O2_alpha,0.021848817540449858
corr_Fp1_C3,0.020815016800291238
F8_delta,0.020397712659367413
corr_O2_Fp1,0.018990257319810074
Fp1_std,0.018891617890692054
corr_C4_O1,0.01887248519460306
corr_O2_C4,0.01848401742000552
F3_mobility,0.016675154010541652
Cz_mean,0.015911399114023127
corr_F3_O1,0.015311588487952197
O1_skew,0.015279845632569743
O2_delta,0.014805093831389077
corr_O2_F4,0.014717809101714925
corr_Fz_F4,0.0147052373545874
Pz_beta,0.013608916944301741
F4_complexity,0.013126362268693553
C3_activity,0.012165508771771263
corr_F7_O1,0.011293888746070924
corr_C3_P7,0.011236663015387581
corr_F7_P3,0.010938172902060945
C3_mean,0.01093151254626159
P3_std,0.0091291567607644
corr_F8_C3,0.008382617404425126
corr_F8_P3,0.008314161752689129
F7_alpha,0.008285277119485544
C4_activity,0.007133328409813913
F8_alpha,0.007032075925121224
Fp1_complexity,0.006104619197517303
corr_P4_P8,0.0053497607364043735
corr_C4_C3,0.003727784324467798
corr_P8_Fp2,0.0032900669644286597
Fp1_delta,0.00039820124552449406
